src_text,tgt_text,src_lang,tgt_lang
اولار بيز آط ايستايميز ديدى,"They said, “We are looking for a horse.”",chg_Arab,eng_Latn
ﻣﻧﺎﺴﻳﺏ,"лайық , сай",chg_Arab,kaz_Cyrl
پيغمبر عربستان دين کلادور,Пайғамбар Арабиядан келеді,chg_Arab,kaz_Cyrl
ﺍﻭﻴﻭﻻﺮﻴﻥ,үйлерін,chg_Arab,kaz_Cyrl
دور,is,chg_Arab,eng_Latn
سمرقند و خوجند بولغاي,“it ought to be Samarqand and Khujand”,chg_Arab,eng_Latn
بر,бір,chg_Arab,kaz_Cyrl
چيقار,to let out,chg_Arab,eng_Latn
اول آدام دە بلا يوق مو,Does that man have no children?,chg_Arab,eng_Latn
ﺑﻐﻼﺗﻴﺏ,байлатып,chg_Arab,kaz_Cyrl
شونجە بيلور ايردى کم بخارادين ايکي يکيت کليب بر کوشەدا وطن قلدىلار ديب,"Бұхарадан екі жігіт келіп, бір бұрышқа орналасқанын ғана білетін еді",chg_Arab,kaz_Cyrl
سيز,you,chg_Arab,eng_Latn
ﻀﺮﻮﺮ,helpless,chg_Arab,eng_Latn
ﺍﻳﺘﺎﻠﻴﻨﮏ,let's say,chg_Arab,eng_Latn
باديەلارنى قطع قليب,They crossed through the wilderness,chg_Arab,eng_Latn
ﻃﻳﺎﺮ,ready,chg_Arab,eng_Latn
فيش,дайын болу,chg_Arab,kaz_Cyrl
خصوصا اوچ هنرى برکان تورور,Әсіресе үш өнер берген,chg_Arab,kaz_Cyrl
ﺁﻧﻰ,him,chg_Arab,eng_Latn
ﻛﺷﻭﺮﺴﺘﺎﻥ,"A title for Genghis Khan, meaning great ruler, ruler of the world",chg_Arab,eng_Latn
ﺘﻮﺗﻪ,"қарсы , тура",chg_Arab,kaz_Cyrl
اول,ол,chg_Arab,kaz_Cyrl
ﺑﺎﻘﻴﻧﻐﺎﻧﻴﻦ,бағынғанын,chg_Arab,kaz_Cyrl
ملک,kingdom,chg_Arab,eng_Latn
ايرسە رکابدار باريب ايديکە اى ... لار سيزلارنى تورە جرلايدور ديدى,"So then the stirrup-holder went and said, ""Oh, . . . s! The Tora calls for you!""",chg_Arab,eng_Latn
ﺍﻮﻳﻮﺭ,үйір,chg_Arab,kaz_Cyrl
قصد,intent,chg_Arab,eng_Latn
برماديمو,бермеді ме?,chg_Arab,kaz_Cyrl
کاشغر ارک يدين يارکند قلعەسی خيىلی چونک دور,Яркент қамалы Қашқар аргынан едәуір үлкен,chg_Arab,kaz_Cyrl
ﻗﻮﻣﺎﺶ,fabric,chg_Arab,eng_Latn
ﺸﻭﻠﺪﺍ,шөлде,chg_Arab,kaz_Cyrl
هرات غچە بار,Go as far as Herat,chg_Arab,eng_Latn
ﺷﺎﻋﺭ,ақын,chg_Arab,kaz_Cyrl
ايمدى,now,chg_Arab,eng_Latn
شيخ شهاب الدين اطلغ بر مريدى بار ايردى,Шейх Шахабуддин атты бір мүриді бар еді,chg_Arab,kaz_Cyrl
ﺍﻭﻜﺎﻨﮑﻳﺯ,ініңіз,chg_Arab,kaz_Cyrl
ﻗﻭﺪﺍﻻﻕ,"жеңіл, ауыр емес",chg_Arab,kaz_Cyrl
اریق,арық,chg_Arab,kaz_Cyrl
پر,full of,chg_Arab,eng_Latn
ﻗﺗﻴﻎ,hard,chg_Arab,eng_Latn
القصّه,Back to our story,chg_Arab,eng_Latn
ﻴﺎﺑﻳﺏ,close,chg_Arab,eng_Latn
بزنينک,our,chg_Arab,eng_Latn
سنينک,your,chg_Arab,eng_Latn
ﻳﻮﻤﻮﻖ,жұмық (жұмылған),chg_Arab,kaz_Cyrl
بازارى,of the bazaar,chg_Arab,eng_Latn
ﻓﺎﺴﻕ,"stupid, ignorant",chg_Arab,eng_Latn
ﺘﻮﻗﻐﺎﻨﻼﺮﻏﻪ,туғандарға,chg_Arab,kaz_Cyrl
ساليش,алысу,chg_Arab,kaz_Cyrl
عدالت لارى,оның әділдігі,chg_Arab,kaz_Cyrl
اوى,үй,chg_Arab,kaz_Cyrl
اى جبرائيل کم همە کار قيلاالايدور حضرت داودغە تمورچيليک کسبينى برکایسن,"Ей, Жәбірейіл, барлық істі қыла алатын, Хазіреті Дәуітке теміршілік кәсібін бергейсің",chg_Arab,kaz_Cyrl
حد جنوبى,southern boundary,chg_Arab,eng_Latn
ﻳﺘﻣﺎﺴﺩﻴﻦ,without reaching,chg_Arab,eng_Latn
اندين,онан,chg_Arab,kaz_Cyrl
ﺍﻴﺰﻻﻤﺎﮎ,to search,chg_Arab,eng_Latn
ﻗﺎﺘﻐﻪ,қабығына,chg_Arab,kaz_Cyrl
ﺁﺮﺍﺒﻪ,cart,chg_Arab,eng_Latn
عشرت,spending time together,chg_Arab,eng_Latn
جنوب,south,chg_Arab,eng_Latn
مونينک دين کوب کيشي قاجيب بلالارىنى الب يماتوغە کلسە كىمەجى يوق,"мұнан көп кісі қашып, балаларын алып Яматуға келсе, кемеші жоқ",chg_Arab,kaz_Cyrl
دعوى,claim,chg_Arab,eng_Latn
ﺪﻭﺮﻏﺎﻧﺩﺍ,тұрғанда,chg_Arab,kaz_Cyrl
کاى,it shall,chg_Arab,eng_Latn
ﻗﻴﻠﻐﻴﻥ,қылығын,chg_Arab,kaz_Cyrl
خداليق,тақуалық,chg_Arab,kaz_Cyrl
دانە,дана,chg_Arab,kaz_Cyrl
روبرو,Бетпе-бет,chg_Arab,kaz_Cyrl
سورادوم,I asked,chg_Arab,eng_Latn
تمورجيليک رسالەسى,manual of blacksmithing,chg_Arab,eng_Latn
ﺷﺭﻖ ﺷﺭﻖ,шырқ-шырқ (еліктеуіш),chg_Arab,kaz_Cyrl
ﺘﺎﻠﺏ,"талап, тап",chg_Arab,kaz_Cyrl
ﮐﻰ,"сөз бен сөзді, сөйлем мен сөйлемді байланыстырушы қосымша",chg_Arab,kaz_Cyrl
ايمان,иман,chg_Arab,kaz_Cyrl
کومال,Көмілу,chg_Arab,kaz_Cyrl
عبد الله,Abdullah,chg_Arab,eng_Latn
اکر ايمان ايط دا بولسە ايت اولى,"«Егер иман итте болса, ит артық»",chg_Arab,kaz_Cyrl
اول,ол,chg_Arab,kaz_Cyrl
ﻜﻮﻠﻧﻴﻧﮏ,of the lake,chg_Arab,eng_Latn
بهار,spring,chg_Arab,eng_Latn
عاج اليب باريب، اويدا قويدى.,"Адж алып барып, үйде қойды.",chg_Arab,kaz_Cyrl
ﻴﻤﺎﻧﻼﺮﻴﻨﻰ,black people,chg_Arab,eng_Latn
ايچ,іш,chg_Arab,kaz_Cyrl
پُل,ақша,chg_Arab,kaz_Cyrl
حدود اربعە,the boundaries of a parcel of land,chg_Arab,eng_Latn
ﻗﻮﻧﺪﻯ,түнеді,chg_Arab,kaz_Cyrl
ﺍﻮﺮﻮﻧﮏ,thief,chg_Arab,eng_Latn
ﺍﻮﭽﻴﺴﻳﻧﺪﻳﻦ,of three,chg_Arab,eng_Latn
قاچور-,қашыру,chg_Arab,kaz_Cyrl
تاجاواز,"бұзу, шектен шығу",chg_Arab,kaz_Cyrl
کوردى,he saw,chg_Arab,eng_Latn
ﻤﺣﺻﻞ,олжа лау,chg_Arab,kaz_Cyrl
ﺘﻴﺮﺒﺎﺘﺪﻯ,moved,chg_Arab,eng_Latn
ايتّيمکە,said that …,chg_Arab,eng_Latn
اول يکت ني صندوق دين چيقاريب، خاتونينى اول مماني يرگأ انداغ اورديکم، پارە پارە بولدى.,"He took that young man out of the box, and he hit the wife and the old woman against the ground so hard that they broke into little pieces.",chg_Arab,eng_Latn
ﺍﻮﺧﺸﺎﺘﺴﺎﻧﻛﺰ,ұнатсаңыз,chg_Arab,kaz_Cyrl
کوب قالماق لشکرى کليب چافان  باشين ديکان يرکە تۈشتی ديب,"""Көп қалмақ әскері келіп, Чапан Башин деген жерге түсті"" деп",chg_Arab,kaz_Cyrl
اوشبو قوليم نينک راستليقى اوچون بو خط نى برديم,осы сөзімнің растығы үшін бұл хатты бердім,chg_Arab,kaz_Cyrl
ﻴﺎﺷﺎﺮ,жасар,chg_Arab,kaz_Cyrl
ﺩﺍﺩ ﻭ ﻞﺪﻋ,"әділдік, шындық ",chg_Arab,kaz_Cyrl
ﺍﻴﺘﺪﻯ,айтты,chg_Arab,kaz_Cyrl
ﻇﺎﻟﻢ,"cruel, cruel",chg_Arab,eng_Latn
ﺗﺎﺗﻮﻠﻴﻖ,"peace, harmony",chg_Arab,eng_Latn
جمادى الاخری نينک ١٨ نجى کونى,Жүмәдә әл-Ахираның 18-ші күні,chg_Arab,kaz_Cyrl
ﺍﻮﺮﻜﻮﻠﻮﺐ,қорқып,chg_Arab,kaz_Cyrl
توجە,taking care,chg_Arab,eng_Latn
ﻗﻴﻠﻐﻨﻰ,"behavior, action",chg_Arab,eng_Latn
مکيان غە,to the chicken,chg_Arab,eng_Latn
روزى,Rozi,chg_Arab,eng_Latn
مشهور,known,chg_Arab,eng_Latn
ﮐﻳﭼﺎﻟﻰ,Let's pass by.,chg_Arab,eng_Latn
بلا,бала,chg_Arab,kaz_Cyrl
ﺍﻮﻟﺘﻮﺮﻮﺐ,отырып,chg_Arab,kaz_Cyrl
ﺘﻳﺭﻴﮑﻠﻴﻜﻧﺪﺍ,"while alive, while alive",chg_Arab,eng_Latn
ﻘﻮﺸﻮﻠﻐﺎﻧﺪﻳﻦ,after connecting,chg_Arab,eng_Latn
ﺩﺍﻍ,темірмен күйдіру,chg_Arab,kaz_Cyrl
اتالارى حضرت خوجه حافظ کبيرنينک شيخ شهاب الدين اطلغ بر مريدى بار ايردى,Аталары Хазірет Қожа Хафиз Кабирдің Шейх Шахабуддин атты бір мүриді бар еді,chg_Arab,kaz_Cyrl
کچيک بلا باردور,There is a small child,chg_Arab,eng_Latn
سزنينک,your,chg_Arab,eng_Latn
مايل,бейім,chg_Arab,kaz_Cyrl
سبب,reason,chg_Arab,eng_Latn
ﺴﻌﻰ,тырысу,chg_Arab,kaz_Cyrl
ﺑﺮ ﺒﺮﻴﻤﻳﺯﻧﻴﻧﮏ,each other's,chg_Arab,eng_Latn
رهگذر,жолаушы,chg_Arab,kaz_Cyrl
ﻤﻌﻨﻳﺳﻴﻦ,мағынасын,chg_Arab,kaz_Cyrl
ﻗﻳﻠﻴﻐﻰ,behavior,chg_Arab,eng_Latn
ﺘﺎﺶ ﻮ ﮐﻳﺴﺎﮎ,rock and soil,chg_Arab,eng_Latn
مختصر,қысқаша,chg_Arab,kaz_Cyrl
عنايت,инаят,chg_Arab,kaz_Cyrl
ﮐﻴﺰﻻﺩﻯ,"жасырды, тықты",chg_Arab,kaz_Cyrl
ﺑﻲ ﻧﻬﺎﻴﺕ,infinite,chg_Arab,eng_Latn
كافرلیكدا,in disbelief,chg_Arab,eng_Latn
ايت,ит,chg_Arab,kaz_Cyrl
حضرت داود عليه السلام ديديکه من نمە ايش قيلورمن ديدى,Хазіреті Дәуіт (ғалейһис-сәлем) деді кі: «Мен не іс қыламын?» – деді.,chg_Arab,kaz_Cyrl
توردى,тұрды,chg_Arab,kaz_Cyrl
هم,also,chg_Arab,eng_Latn
يقا,жақ,chg_Arab,kaz_Cyrl
ﺍﺸﺭﻔﻼﺮﻳﻧﻪ,ақсүйектеріне,chg_Arab,kaz_Cyrl
ﺤﻜﺎﻴﺔ,"бір оқиғаға арналған шығарма, әңгіме",chg_Arab,kaz_Cyrl
بيز کاشغرغە بارغالی اوناماسميز,We refuse to go to Kashgar.,chg_Arab,eng_Latn
قتق بار,қатық бар,chg_Arab,kaz_Cyrl
ﻨﺷﺎﻧﻪ,sign,chg_Arab,eng_Latn
ياغ,жаңбыр,chg_Arab,kaz_Cyrl
کافرلار ايمان ايتغاىل اونامديلار,Кәпірлер иман айтуға унамады.,chg_Arab,kaz_Cyrl
قسقە خط,қысқа хат,chg_Arab,kaz_Cyrl
سوت,сүт,chg_Arab,kaz_Cyrl
آە,Аһ (күрсіну),chg_Arab,kaz_Cyrl
اوشبو کتاب دە توختە يوق,There is no Toḫta in this book,chg_Arab,eng_Latn
ﻴﻡ,жем,chg_Arab,kaz_Cyrl
باقى,Baqi,chg_Arab,eng_Latn
ﭘﻴﺎﺰﻯ,onion (wild onion),chg_Arab,eng_Latn
بدل,айырбас,chg_Arab,kaz_Cyrl
اول کيشی کاشغر پادشاە سى يا کوچا خواجە ىسي دور,Ол кісі Қашқар патшасы немесе Куча қожасы,chg_Arab,kaz_Cyrl
اوشبو کتاب دە توختە يوق,Toḫta is not in this book,chg_Arab,eng_Latn
مقرّب,angel allowed into the presence of God,chg_Arab,eng_Latn
ناکاە غمگين بولوب اولتوروب ايديلار,"Suddenly, he became tired and sat down.",chg_Arab,eng_Latn
-توکات,to finish,chg_Arab,eng_Latn
عظيم,grand,chg_Arab,eng_Latn
اصلا,ешқашан,chg_Arab,kaz_Cyrl
بزاردين باليق يا قوى گوشتی الادور,Базардан балық немесе қой етін алады,chg_Arab,kaz_Cyrl
شکر,gratitude,chg_Arab,eng_Latn
ﻜﻴﻠﺗﻭﺭﺩﻳﻢ,I brought it.,chg_Arab,eng_Latn
ﺒﺎﺏ,"chapter, section",chg_Arab,eng_Latn
ﺘﺨﺕ,place of power,chg_Arab,eng_Latn
ﺍﻭﺰﻮﻢ,grapes,chg_Arab,eng_Latn
کوراسیزمو,көресіз бе?,chg_Arab,kaz_Cyrl
بيزدين,from us,chg_Arab,eng_Latn
-اچ,ашу,chg_Arab,kaz_Cyrl
ﺼﺤﺭﺍ,plain (Ẽﺤﺍﺍﺍﺍﺍ),chg_Arab,eng_Latn
ﺍﻭﺮﻜﻭﻟﺩﻴﻢ,жасырындым,chg_Arab,kaz_Cyrl
دور,-ды/-ді,chg_Arab,kaz_Cyrl
ﻗﺮﻴﻨﺪﺍﺷﻟﻐﻰ,"туыстығы , туысқандығы",chg_Arab,kaz_Cyrl
ﻴﺎﺷﻧﻮﺐ,hiding,chg_Arab,eng_Latn
چیق-,шығу,chg_Arab,kaz_Cyrl
درختنیننك,"ағаш, тал",chg_Arab,kaz_Cyrl
ﺍﻃﺮﺍﻔﻳﻧﺪﺍ,"өңірінде, аймағында",chg_Arab,kaz_Cyrl
توغوشلسی,"батылы, қайсары",chg_Arab,kaz_Cyrl
ﭘﺸﻪ,елсіз дала,chg_Arab,kaz_Cyrl
ﮐﻤﺮ,"edge, hem",chg_Arab,eng_Latn
ﺒﻴﻛﻼﺮ,princes,chg_Arab,eng_Latn
ﻴﺎﺸﻨﻮﺐ,hide (hid),chg_Arab,eng_Latn
ﺴﺪﭼﻰ,a person who guards a fortress,chg_Arab,eng_Latn
کور-,to see,chg_Arab,eng_Latn
فکر,пікір,chg_Arab,kaz_Cyrl
ديرام جيقارغاج دقيانوس کنجينى تابيب سين ديب انى توتميشلار,"As soon as he took out his coins, they said, “You have found Decius himself!” and seized him",chg_Arab,eng_Latn
آلدندا,алдында,chg_Arab,kaz_Cyrl
ﻗﻮﺸﻮﺭﺪﻯ,captured,chg_Arab,eng_Latn
شهرى,of the city,chg_Arab,eng_Latn
ﻴﻤﺎﺴﻤﻴﺯ,жемеспіз,chg_Arab,kaz_Cyrl
ﻮﻻﺗﻼﺮﻧﻰ,уалаяттарын,chg_Arab,kaz_Cyrl
ﺍﻮﺧﺸﺎﺘﺴﺎﻧﻛﺰ,if you like,chg_Arab,eng_Latn
ﻨﺎﺰﻭﮐﺮﺍﮎ,жіңішкерек,chg_Arab,kaz_Cyrl
ﺻﺨﺮﺍﻳﭙﻴﺎﺯ,wild onion (field onion),chg_Arab,eng_Latn
كلتورمكانلارنی,келтірмегендерді (иман),chg_Arab,kaz_Cyrl
عادى,member of the tribe of Ad,chg_Arab,eng_Latn
قط,layer,chg_Arab,eng_Latn
محکم,мықтап,chg_Arab,kaz_Cyrl
شايد,Perhaps,chg_Arab,eng_Latn
 سوت اق دور ,Milk is white,chg_Arab,eng_Latn
اهنکرليک,аһәнгерлік,chg_Arab,kaz_Cyrl
جمادى الاخری نينک ١٨ نجى کونى,the eighteenth day of Jumada al-Akhira,chg_Arab,eng_Latn
کيچيک بلاميزمو يا چونک بای لارمو,"Кішкентай баламыз ба, әлде үлкен байлармыз ба?",chg_Arab,kaz_Cyrl
ﺍﻧﻴﻧﮏ,His,chg_Arab,eng_Latn
بو اوى دور,Бұл — үй,chg_Arab,kaz_Cyrl
ﻗﻮﻞ ﻮ ﺍﻳﺎﻗﻴﻨﻴﻧﮏ,қол-аяғының,chg_Arab,kaz_Cyrl
ﺗﻮﻏﻭﺸﻠﻰ,"батыл, қайсар",chg_Arab,kaz_Cyrl
مسلمان جە سوزلاي دورلار,мұсылманша сөйлейді,chg_Arab,kaz_Cyrl
قادر خان باشليق نياز ميراب مريم بي بي لار,"Niyaz Mirab and Maryam Bibi, led by Qadir Khan ",chg_Arab,eng_Latn
ﺑﻐﺎﺯﻴﻨﺪﻴﻥ,from the food,chg_Arab,eng_Latn
ﺍﺻﻂﻼﺡ,"сөз, атау (термин)",chg_Arab,kaz_Cyrl
ﺑﻴﻤﺎﺮ,disease,chg_Arab,eng_Latn
 سرو عرعر,Chinese sumac tree,chg_Arab,eng_Latn
حکيم,wise man,chg_Arab,eng_Latn
کور-,көру,chg_Arab,kaz_Cyrl
